n,Treatment,treatment_label,gender,age,study,DictatorCharity,giveC,min_ug,Favor_intentions,Favor_revenge,Favor_return,Punish_Self,Punish_Others,Gift,Give_Charity,Donation_Good_Cause,Wage,Effort,Acceptance
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,25,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,30,0.0,0.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,35,8.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,40,8.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,45,9.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,50,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,55,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,60,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,65,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,75,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,85,10.0,1.0
11,P,GE,0,33,3,30,30.0,50.0,6,0,10,3,2,5,7,50,95,10.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,1,0.0,0.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,3,0.0,0.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,5,0.0,0.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,10,0.0,0.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,15,0.0,0.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,20,1.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,25,1.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,30,1.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,35,1.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,40,2.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,45,2.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,50,2.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,55,3.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,60,3.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,65,3.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,75,4.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,85,4.0,1.0
12,S,Prosocial,1,27,2,20,20.0,50.0,3,7,8,5,4,3,2,0,95,4.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,1,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,3,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,5,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,10,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,15,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,20,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,25,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,30,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,35,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,40,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,45,0.0,0.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,50,4.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,55,4.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,60,5.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,65,5.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,75,6.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,85,8.0,1.0
13,S,Prosocial,1,29,3,20,20.0,50.0,5,7,9,8,8,2,3,50,95,9.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,1,0.0,0.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,3,0.0,0.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,5,0.0,0.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,10,0.0,0.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,15,0.0,0.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,20,4.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,25,5.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,30,5.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,35,7.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,40,7.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,45,8.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,50,8.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,55,9.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,60,10.0,1.0
14,S,Prosocial,1,19,2,40,40.0,50.0,1,6,9,2,5,2,5,400,65,10.0,1.0
